Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebVisitsMonth,Complain,Customer_Since_Days,Age,Children,Total_Spent,Total_Purchases,Campaigns_Accepted,Segment
Graduation,Single,58138.0,58,3,7,0,663,68,0,1617,22,0,2
Graduation,Single,46344.0,38,2,5,0,113,71,2,27,4,0,3
Graduation,Together,71613.0,26,1,4,0,312,60,0,776,20,0,2
Graduation,Together,26646.0,26,2,6,0,139,41,1,53,6,0,1
PhD,Married,58293.0,94,5,5,0,161,44,1,422,14,0,1
Master,Together,62513.0,16,2,6,0,293,58,1,716,20,0,0
Graduation,Divorced,55635.0,34,4,6,0,593,54,1,590,17,0,1
PhD,Married,33454.0,32,2,8,0,417,40,1,169,8,0,1
PhD,Together,30351.0,19,1,9,0,388,51,1,46,5,0,1
PhD,Together,5648.0,68,1,20,0,108,75,2,49,1,1,1
Graduation,Married,51537.0,11,1,7,0,226,42,1,19,3,0,1
Basic,Married,7500.0,59,1,8,0,593,49,0,61,5,0,1
Graduation,Divorced,63033.0,82,1,2,0,226,66,0,1102,15,0,2
Master,Divorced,59354.0,53,3,6,0,226,73,2,310,12,0,0
Graduation,Married,17323.0,38,1,8,0,627,38,0,46,4,0,1
PhD,Single,82800.0,23,1,3,0,582,79,0,1315,25,2,2
Graduation,Married,41850.0,51,3,8,0,552,45,2,96,6,0,1
Graduation,Together,37760.0,20,2,7,0,667,79,0,317,11,0,1
Master,Married,76995.0,91,2,5,0,458,76,1,1782,24,1,2
2n Cycle,Single,33812.0,86,2,6,0,603,40,1,133,6,0,3
Graduation,Married,37040.0,41,1,8,0,690,43,0,316,11,0,1
Graduation,Married,2447.0,42,15,1,0,539,46,1,1730,28,0,2
PhD,Married,58607.0,63,3,8,0,553,76,1,972,14,1,1
PhD,Married,65324.0,0,3,4,0,169,71,1,544,17,0,2
Graduation,Together,40689.0,69,7,8,0,468,74,1,444,13,0,1
Graduation,Single,18589.0,89,2,7,0,543,56,0,75,6,0,3
Graduation,Married,53359.0,4,4,7,0,398,49,2,257,10,0,1
Graduation,Single,51537.0,19,0,1,0,494,39,1,637,27,0,2
Graduation,Married,38360.0,26,2,3,0,394,36,1,131,7,0,1
PhD,Married,84618.0,96,1,2,0,219,60,0,1672,25,1,2
